A	1981
A's	528
AA's	5838
AB's	6297
ABM's	6468
AC's	4282
ACTH's	1018
AI's	1526
AIDS's	2177
AM's	4572
AOL	8275
AOL's	9262
ASCII's	3101
ASL's	5480
ATM's	1908
ATP's	6736
AWOL's	1850
AZ's	8760
AZT's	9897
Aachen	9035
Aaliyah	9808
Aaliyah's	1363
Aaron	4621
Abbas	5846
Abbasid	3886
Abbott	5352
Abbott's	7935
Abby	4842
Abby's	1825
Abdul	6876
Abdul's	2513
Abe	9846
Abe's	9394
Abel	8828
Abel's	6387
Abelard	4678
Abelson	5405
Abelson's	4667
Aberdeen	356
Aberdeen's	473
Abernathy	53
Abernathy's	4792
Abidjan	2458
Abidjan's	3855
Abigail	9681
Abilene	8711
Abner	1671
Abner's	790
Abraham	6486
Abraham's	4947
Abram	5100
Abram's	221
Abrams	5140
Absalom	819
Abuja	2192
Abyssinia	8102
Abyssinia's	3512
Abyssinian	7805
Abyssinian's	3446
Ac	5489
Ac's	1017
Acadia	7409
Acadia's	4095
Acapulco	9642
Acapulco's	3351
Accenture	2144
Accenture's	9469
Accra	9258
Accra's	4943
Acevedo	6409
Acevedo's	4149
Achaean	43
Achaean's	2097
Achebe	402
Achebe's	2282
Achernar	4690
Acheson	8198
Acheson's	4480
Achilles	9120
Achilles's	8408
Aconcagua	3131
Aconcagua's	2176
Acosta	1167
Acosta's	2619
Acropolis	9049
Acrux	2921
Acrux's	3397
Actaeon	1956
Acton	3532
Acts	3772
Acuff	639
Acuff's	3849
Ada	4817
Ada's	6495
Adam	7122
Adam's	2699
Adams	5977
Adan	8370
Adan's	3612
Adana	7838
Adar	564
Adar's	3256
Addams	7855
Adderley	3343
Adderley's	9176
Addie	2780
Addie's	8127
Addison	9592
Adela	8580
Adela's	4960
Adelaide	5233
Adelaide's	8746
Adele	4437
Adele's	988
Adeline	8957
Adeline's	5621
Aden	8210
Aden's	7071
Adenauer	6002
Adhara	9603
Adhara's	4615
Adidas	1734
Adidas's	7905
Adirondack	4095
Adirondack's	5
Adirondacks	4555
Adirondacks's	6291
Adkins	5810
Adkins's	4395
Adler	7228
Adolf	5647
Adolf's	3976
Adolfo	1636
Adolfo's	4663
Adolph	9088
Adolph's	7923
Adonis	7633
Adonis's	2761
Adonises	3553
Adrian	2816
Adriana	5577
Adriana's	725
Adriatic	7481
Adriatic's	6508
Adrienne	8312
Adrienne's	2451
Advent	6082
Advent's	3166
Adventist	188
Adventist's	1631
Advents	8435
Advil	807
Advil's	6546
Aegean	4664
Aegean's	3065
Aelfric	3088
Aelfric's	6465
Aeneas	86
Aeneas's	7606
Aeneid	113
Aeneid's	41
Aeolus	1744
Aeolus's	6492
Aeroflot	7153
Aeroflot's	2502
Aeschylus	9030
Aeschylus's	3038
Aesculapius	3526
Aesculapius's	4428
Aesop	2594
Aesop's	8237
Afghan	456
Afghan's	6471
Afghanistan	9638
Afghanistan's	4431
Afghans	6347
Africa	2959
Africa's	3414
African	3571
African's	9701
Africans	6823
Afrikaans	6253
Afrikaans's	5143
Afrikaner	4270
Afrikaner's	7219
Afrikaners	1389
Afro	313
Afro's	2205
Afrocentrism	5306
Afros	3247
Ag	6054
Ag's	9728
Agamemnon	5681
Agamemnon's	8522
Agassi	4944
Agassi's	5789
Agassiz	4409
Agassiz's	6365
Agatha	4018
Agatha's	8315
Aggie	6234
Aglaia	7948
Agnes	5174
Agnew	9958
Agnew's	5856
Agni	6388
Agni's	2737
Agra	6989
Agricola	2113
Agrippa	3049
Agrippa's	3045
Agrippina	1510
Agrippina's	933
Aguilar	6117
Aguilar's	586
Aguinaldo	9965
Aguinaldo's	8076
Aguirre	475
Aguirre's	3919
Agustin	5785
Agustin's	6551
Ahab	2609
Ahab's	8158
Ahmad	2623
Ahmad's	5108
Ahmadabad	1804
Ahmadinejad	4471
Ahmadinejad's	8116
Ahmed	3236
Ahmed's	5359
Ahriman	8147
Ahriman's	8577
Aida	7468
Aida's	4947
Aiken	7135
Aileen	8731
Aileen's	2484
Aimee	7703
Aimee's	1512
Ainu	87
Airedale	5466
Airedale's	5676
Airedales	9385
Aisha	8374
Ajax	1336
Ajax's	3090
Akbar	6855
Akhmatova	7455
Akhmatova's	993
Akihito	1669
Akita	3692
Akiva	1163
Akiva's	1398
Akkad	68
Akron	4418
Akron's	8703
Al	552
Al's	6320
Ala	8027
Alabama	5894
Alabama's	8060
Alabaman	9866
Alabaman's	2166
Alabamans	6898
Alabamian	2278
Alabamian's	7249
Alabamians	7379
Aladdin	6868
Aladdin's	3189
Alamo	8218
Alamo's	9079
Alamogordo	8800
Alamogordo's	9290
Alan	4890
Alan's	3925
Alana	599
Alana's	1195
Alar	8789
Alar's	9936
Alaric	5187
Alaska	1603
Alaska's	9866
Alaskan	7194
Alaskan's	5311
Alaskans	4047
Alba	8931
Albania	6628
Albania's	130
Albanian	2771
Albanian's	3924
Albanians	5857
Albany	5991
Albany's	5531
Albee	9812
Alberio	3383
Alberio's	3821
Albert	5464
Alberta	8161
Alberta's	9626
Alberto	8957
Alberto's	8874
Albigensian	2014
Albion	7115
Albireo	1101
Albireo's	2262
Albuquerque	3961
Albuquerque's	3142
Alcatraz	6389
Alcestis	4683
Alcibiades	4573
Alcindor	9590
Alcindor's	5757
Alcmena	4078
Alcmena's	6623
Alcoa	3721
Alcoa's	3084
Alcott	8105
Alcuin	149
Alcyone	5082
Aldan	8865
